,_id,username,pm2_5Data,pm10Data,tempData,humidityData,dateTimeData,__v
0,6095c2332269680015f56519,sshekhar93,14.6,18.6,invalid,invalid,2021-05-07 15:41:55.397079,0
1,6095c2ab2269680015f56524,sshekhar93,16.4,20.6,invalid,invalid,2021-05-07 15:43:54.637886,0
2,6095c2c92269680015f56528,sshekhar93,15.7,19.5,invalid,invalid,2021-05-07 15:44:25.311669,0
3,6095c2e82269680015f5652c,sshekhar93,15.1,18.7,invalid,invalid,2021-05-07 15:44:56.052281,0
4,6095c3072269680015f56530,sshekhar93,14.3,18.5,invalid,invalid,2021-05-07 15:45:26.699848,0
5,6095c3252269680015f56534,sshekhar93,14.1,18.2,invalid,invalid,2021-05-07 15:45:57.356414,0
6,6095c3442269680015f56538,sshekhar93,13.0,16.6,invalid,invalid,2021-05-07 15:46:27.951948,0
7,6095c3632269680015f5653c,sshekhar93,13.0,16.9,invalid,invalid,2021-05-07 15:46:58.670760,0
8,6095c3812269680015f56540,sshekhar93,12.7,17.0,invalid,invalid,2021-05-07 15:47:29.331906,0
9,6095c3a02269680015f56544,sshekhar93,12.8,16.1,invalid,invalid,2021-05-07 15:48:00.001060,0
10,6095c3bf2269680015f56547,sshekhar93,12.9,17.4,invalid,invalid,2021-05-07 15:48:30.676015,0
11,6095c3dd2269680015f5654a,sshekhar93,13.1,16.8,invalid,invalid,2021-05-07 15:49:01.337105,0
12,6095c3fc2269680015f5654d,sshekhar93,12.8,16.4,invalid,invalid,2021-05-07 15:49:32.025702,0
13,6095c41b2269680015f56550,sshekhar93,12.7,16.4,invalid,invalid,2021-05-07 15:50:02.727166,0
14,6095c43a2269680015f56553,sshekhar93,13.0,17.0,invalid,invalid,2021-05-07 15:50:33.370685,0
15,6095c4582269680015f56556,sshekhar93,12.9,16.0,invalid,invalid,2021-05-07 15:51:04.155480,0
16,6095c4772269680015f56559,sshekhar93,13.0,16.7,invalid,invalid,2021-05-07 15:51:34.816554,0
17,6095c4962269680015f5655c,sshekhar93,11.2,15.0,invalid,invalid,2021-05-07 15:52:05.514687,0
18,6095c4b42269680015f5655f,sshekhar93,10.7,15.0,invalid,invalid,2021-05-07 15:52:36.173874,0
19,6095c4d32269680015f56562,sshekhar93,10.9,15.8,invalid,invalid,2021-05-07 15:53:06.828551,0
20,6095c4f22269680015f56565,sshekhar93,10.2,13.9,invalid,invalid,2021-05-07 15:53:37.618358,0
21,6095c5102269680015f56568,sshekhar93,10.6,14.1,invalid,invalid,2021-05-07 15:54:08.289988,0
22,6095c52f2269680015f5656b,sshekhar93,10.3,14.4,invalid,invalid,2021-05-07 15:54:38.957610,0
23,6095c54e2269680015f5656e,sshekhar93,10.3,14.4,invalid,invalid,2021-05-07 15:55:09.630712,0
24,6095c56c2269680015f56571,sshekhar93,10.5,13.8,invalid,invalid,2021-05-07 15:55:40.307760,0
25,6095c58b2269680015f56574,sshekhar93,10.5,15.0,invalid,invalid,2021-05-07 15:56:11.089645,0
26,6095c5aa2269680015f56577,sshekhar93,10.5,14.7,invalid,invalid,2021-05-07 15:56:41.837249,0
27,6095c5c92269680015f5657a,sshekhar93,10.0,14.4,invalid,invalid,2021-05-07 15:57:12.690909,0
28,6095c5e82269680015f5657d,sshekhar93,10.6,15.0,invalid,invalid,2021-05-07 15:57:43.490006,0
29,6095c6062269680015f56580,sshekhar93,10.7,14.8,invalid,invalid,2021-05-07 15:58:14.176697,0
